Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
36601324,07/02/2017 12:00:00 AM,07/27/2017 03:37:23 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,10306,51 KELVIN AVENUE,KELVIN AVENUE,SOUTH RAILROAD AVENUE,O'GORMAN AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/01/2017 01:26:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/27/2017 03:37:23 PM,03 STATEN ISLAND,5050200003,STATEN ISLAND,946568,141680,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55547453822908,-74.13560441167415,"(40.55547453822908, -74.13560441167415)"
36601323,07/02/2017 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11419,95-35 111 STREET,111 STREET,95 AVENUE,101 AVENUE,,,ADDRESS,South Richmond Hill,,N/A,Assigned,08/01/2017 02:24:27 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 02:27:54 PM,09 QUEENS,,QUEENS,1030332,190767,PHONE,Unspecified,QUEENS,,,,,,,,40.69016815213367,-73.83383188442855,"(40.69016815213367, -73.83383188442855)"
36601252,07/02/2017 12:00:00 AM,07/10/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216,103 HALSEY STREET,HALSEY STREET,NOSTRAND AVENUE,MARCY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 08:26:16 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/10/2017 12:00:00 AM,03 BROOKLYN,3018380086,BROOKLYN,998361,187714,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6818970859362,-73.94912316785529,"(40.6818970859362, -73.94912316785529)"
36601241,07/02/2017 12:00:00 AM,07/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11419,101-44 126 STREET,126 STREET,101 AVENUE,103 AVENUE,,,ADDRESS,South Richmond Hill,,N/A,Closed,08/01/2017 06:56:42 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/11/2017 12:00:00 AM,09 QUEENS,4094920028,QUEENS,1034201,191181,ONLINE,Unspecified,QUEENS,,,,,,,,40.69128349392484,-73.81987753882075,"(40.69128349392484, -73.81987753882075)"
36601181,07/02/2017 12:00:00 AM,07/05/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11228,1265 73 STREET,73 STREET,12 AVENUE,13 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 01:07:17 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2017 12:00:00 AM,10 BROOKLYN,,BROOKLYN,982308,165868,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62194560953849,-74.00699553949283,"(40.62194560953849, -74.00699553949283)"
36601136,07/02/2017 12:00:00 AM,07/03/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,10002,,,,,PITT STREET,DELANCY STREET,INTERSECTION,NEW YORK,,N/A,Closed,08/01/2017 07:04:10 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2017 12:00:00 AM,03 MANHATTAN,,MANHATTAN,988903,200472,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71692484092848,-73.98321491747782,"(40.71692484092848, -73.98321491747782)"
36601135,07/02/2017 12:00:00 AM,07/05/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10463,,,,,WEST KINGSBRIDGE ROAD,HEATH AVENUE,INTERSECTION,BRONX,,N/A,Closed,08/01/2017 11:17:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2017 12:00:00 AM,Unspecified BRONX,,BRONX,1010613,257211,ONLINE,Unspecified,BRONX,,,,,,,,40.872619836537766,-73.90467626613614,"(40.872619836537766, -73.90467626613614)"
36601077,07/02/2017 12:00:00 AM,07/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10314,18 LATOURETTE LANE,LATOURETTE LANE,,,,,LATLONG,STATEN ISLAND,,N/A,Closed,08/01/2017 12:39:25 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/12/2017 12:00:00 AM,Unspecified STATEN ISLAND,,STATEN ISLAND,943548,153838,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.58883247824644,-74.1465455171574,"(40.58883247824644, -74.1465455171574)"
36601039,07/02/2017 12:00:00 AM,07/13/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Basement,3+ Family Apartment Building,10460,1623 MELVILLE STREET,MELVILLE STREET,DEAD END,VAN NEST AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/01/2017 11:31:34 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/13/2017 12:00:00 AM,11 BRONX,2040220018,BRONX,1020606,245657,PHONE,Unspecified,BRONX,,,,,,,,40.8408720947255,-73.86860613716749,"(40.8408720947255, -73.86860613716749)"
36601004,07/02/2017 12:00:00 AM,07/10/2017 03:39:00 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),11212,1738 EAST NY AVENUE,EAST NY AVENUE,JUNIUS STREET,VAN SINDEREN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 10:27:51 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/10/2017 03:39:00 PM,16 BROOKLYN,3036790030,BROOKLYN,1010823,185302,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67524805665429,-73.90420129904024,"(40.67524805665429, -73.90420129904024)"
36600979,07/02/2017 12:00:00 AM,07/17/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,10128,3 AVENUE,3 AVENUE,EAST 94 STREET,EAST 95 STREET,,,BLOCKFACE,NEW YORK,,N/A,Closed,08/01/2017 10:13:52 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/17/2017 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,998081,224987,PHONE,Unspecified,MANHATTAN,,,,,,,,40.78420272232641,-73.95005607894743,"(40.78420272232641, -73.95005607894743)"
36600697,07/02/2017 12:00:00 AM,07/06/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Roof Gutters,3+ Family Apartment Building,11206,48 JEFFERSON STREET,JEFFERSON STREET,STANWIX STREET,EVERGREEN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 09:09:33 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/06/2017 12:00:00 AM,04 BROOKLYN,3031710013,BROOKLYN,1002765,193819,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.698645783803244,-73.93322789087821,"(40.698645783803244, -73.93322789087821)"
36600667,07/02/2017 12:00:00 AM,07/07/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10467,2320 BRONX PARK EAST,BRONX PARK EAST,THWAITES PLACE,WARING AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/01/2017 04:25:03 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/07/2017 12:00:00 AM,11 BRONX,2043400025,BRONX,1020007,252638,PHONE,Unspecified,BRONX,,,,,,,,40.860035297528064,-73.87073374247171,"(40.860035297528064, -73.87073374247171)"
36600649,07/02/2017 12:00:00 AM,07/22/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10310,PURCELL STREET,PURCELL STREET,CLOVE ROAD,BROADWAY,,,BLOCKFACE,STATEN ISLAND,,N/A,Closed,08/01/2017 07:29:15 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/22/2017 12:00:00 AM,Unspecified STATEN ISLAND,,STATEN ISLAND,951388,167488,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62633143268339,-74.11838444653516,"(40.62633143268339, -74.11838444653516)"
36600642,07/02/2017 12:00:00 AM,06/01/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10030,125 W 137TH ST,W 137TH ST,,,,,LATLONG,NEW YORK,,N/A,Pending,08/01/2017 12:48:44 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 12:51:19 PM,Unspecified MANHATTAN,,MANHATTAN,1000544,236635,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.816169095636546,-73.9411338909469,"(40.816169095636546, -73.9411338909469)"
36600370,07/02/2017 12:00:00 AM,05/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10029,1567 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,LATLONG,NEW YORK,,N/A,Pending,08/01/2017 03:54:06 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 03:56:36 AM,Unspecified MANHATTAN,,MANHATTAN,998402,226534,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.78844831511215,-73.94889368488495,"(40.78844831511215, -73.94889368488495)"
36600369,07/02/2017 12:00:00 AM,04/26/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10035,2395 1ST AVENUE,1ST AVENUE,,,,,LATLONG,NEW YORK,,N/A,Pending,08/01/2017 08:12:16 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 08:14:32 PM,Unspecified MANHATTAN,,MANHATTAN,1002707,230853,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80029485556464,-73.93333541796616,"(40.80029485556464, -73.93333541796616)"
36600368,07/02/2017 12:00:00 AM,07/06/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11219,1042 50 STREET,50 STREET,FT HAMILTON PARKWAY,11 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 02:27:13 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2017 12:00:00 AM,12 BROOKLYN,3056460036,BROOKLYN,984796,171599,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6376761912152,-73.99803271629477,"(40.6376761912152, -73.99803271629477)"
36600367,07/02/2017 12:00:00 AM,07/14/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11206,675 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Closed,08/01/2017 10:29:07 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/14/2017 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,1000282,192455,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.694906768476486,-73.9421857740023,"(40.694906768476486, -73.9421857740023)"
36600364,07/02/2017 12:00:00 AM,06/19/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),10456,1251 WEBSTER AVENUE,WEBSTER AVENUE,EAST 168 STREET,EAST 169 STREET,,,ADDRESS,BRONX,,N/A,Pending,08/01/2017 11:20:42 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,06/19/2017 12:00:00 AM,04 BRONX,2024270037,BRONX,1009374,242787,PHONE,Unspecified,BRONX,,,,,,,,40.83303387949112,-73.90921031302838,"(40.83303387949112, -73.90921031302838)"
36600317,07/02/2017 12:00:00 AM,07/06/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11208,80 MCKINLEY AVENUE,MCKINLEY AVENUE,EUCLID AVENUE,CRESCENT STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 12:00:06 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2017 12:00:00 AM,05 BROOKLYN,3041650014,BROOKLYN,1019635,186802,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.679334376108606,-73.87242519598063,"(40.679334376108606, -73.87242519598063)"
36599970,07/02/2017 12:00:00 AM,05/23/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,3260 CRUGER AVE,CRUGER AVE,,,,,LATLONG,BRONX,,N/A,Pending,08/01/2017 06:49:51 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 06:54:01 AM,Unspecified BRONX,,BRONX,1021375,257422,MOBILE,Unspecified,BRONX,,,,,,,,40.873160261347024,-73.86576174680496,"(40.873160261347024, -73.86576174680496)"
36599952,07/02/2017 12:00:00 AM,06/19/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11103,45-19 28 AVENUE,28 AVENUE,45 STREET,46 STREET,,,ADDRESS,Astoria,,N/A,Pending,08/01/2017 08:17:54 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 08:21:36 PM,01 QUEENS,4007160001,QUEENS,1009325,217454,ONLINE,Unspecified,QUEENS,,,,,,,,40.763501873371176,-73.90948197975294,"(40.763501873371176, -73.90948197975294)"
36599930,07/02/2017 12:00:00 AM,07/03/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10023,50 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 61 STREET,WEST 62 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,08/01/2017 06:08:53 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/03/2017 12:00:00 AM,07 MANHATTAN,1011540101,MANHATTAN,987994,220531,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.771982206808126,-73.98648284885911,"(40.771982206808126, -73.98648284885911)"
36599914,07/02/2017 12:00:00 AM,09/21/2017 03:11:15 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Other Animal,Commercial Building,10463,666 KAPPOCK STREET,KAPPOCK STREET,PEDESTRIAN AND BIKE PATH LINK,INDEPENDENCE AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/01/2017 11:12:03 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/21/2017 03:11:15 PM,08 BRONX,2057430029,BRONX,1006607,260136,ONLINE,Unspecified,BRONX,,,,,,,,40.880659110607134,-73.91915145108456,"(40.880659110607134, -73.91915145108456)"
36599886,07/02/2017 12:00:00 AM,07/06/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Public Garden,10452,1277 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WOODYCREST AVENUE,WEST 169 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2017 03:29:14 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/06/2017 12:00:00 AM,04 BRONX,2025170035,BRONX,1005649,245009,ONLINE,Unspecified,BRONX,,,,,,,,40.83914243535633,-73.92266411377638,"(40.83914243535633, -73.92266411377638)"
36599874,07/02/2017 12:00:00 AM,07/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10009,269 EAST   10 STREET,EAST   10 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,N/A,Closed,08/01/2017 03:24:15 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/11/2017 12:00:00 AM,03 MANHATTAN,1004380043,MANHATTAN,988881,204617,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72830187478833,-73.98329142747356,"(40.72830187478833, -73.98329142747356)"
36599872,07/02/2017 12:00:00 AM,06/23/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11205,585 DEKALB AVE,DEKALB AVE,,,,,LATLONG,BROOKLYN,,N/A,Pending,08/01/2017 04:03:12 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 04:05:42 AM,Unspecified BROOKLYN,,BROOKLYN,997333,191283,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69169475098174,-73.95282266325036,"(40.69169475098174, -73.95282266325036)"
36599756,07/02/2017 12:00:00 AM,06/09/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11377,39-28 58 STREET,58 STREET,39 AVENUE,WOODSIDE AVENUE,,,ADDRESS,Woodside,,N/A,Pending,08/01/2017 01:31:13 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 01:38:41 PM,02 QUEENS,4012280067,QUEENS,1010370,211481,PHONE,Unspecified,QUEENS,,,,,,,,40.747104491919394,-73.90573285002819,"(40.747104491919394, -73.90573285002819)"
36599651,07/02/2017 12:00:00 AM,07/06/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Swimming Pool - Unmaintained,1-2 Family Dwelling,11421,86-27 90 STREET,90 STREET,86 ROAD,JAMAICA AVENUE,,,ADDRESS,Woodhaven,,N/A,Closed,08/01/2017 10:14:40 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/06/2017 12:00:00 AM,09 QUEENS,4088690046,QUEENS,1024478,192124,PHONE,Unspecified,QUEENS,,,,,,,,40.69392134274217,-73.85493280916018,"(40.69392134274217, -73.85493280916018)"
36599614,07/02/2017 12:00:00 AM,07/06/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,11101,5-25 47 ROAD,47 ROAD,5 STREET,VERNON BOULEVARD,,,ADDRESS,Long Island City,,N/A,Closed,08/01/2017 11:11:34 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/06/2017 12:00:00 AM,02 QUEENS,4000290013,QUEENS,996614,210773,ONLINE,Unspecified,QUEENS,,,,,,,,40.74519114216852,-73.95537957907185,"(40.74519114216852, -73.95537957907185)"
36599246,07/02/2017 12:00:00 AM,07/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11205,192 SPENCER STREET,SPENCER STREET,WILLOUGHBY AVENUE,DEKALB AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 01:33:14 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/11/2017 12:00:00 AM,03 BROOKLYN,3017620041,BROOKLYN,996794,191564,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6924668113589,-73.95476577524396,"(40.6924668113589, -73.95476577524396)"
36599221,07/02/2017 12:00:00 AM,07/18/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11237,225 SUYDAM STREET,SUYDAM STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2017 08:29:58 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/18/2017 12:00:00 AM,04 BROOKLYN,3032090044,BROOKLYN,1005132,194733,PHONE,Unspecified,BROOKLYN,,,,,,,,40.701149230459976,-73.92468876159013,"(40.701149230459976, -73.92468876159013)"
36599126,07/02/2017 12:00:00 AM,07/17/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10031,601 WEST  139 STREET,WEST  139 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,N/A,Closed,08/01/2017 12:14:27 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/17/2017 12:00:00 AM,09 MANHATTAN,1020870093,MANHATTAN,997088,239056,PHONE,Unspecified,MANHATTAN,,,,,,,,40.82281975617766,-73.95361491244607,"(40.82281975617766, -73.95361491244607)"
36599057,07/02/2017 12:00:00 AM,06/20/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11433,110-29 167 STREET,167 STREET,110 ROAD,111 AVENUE,,,ADDRESS,Jamaica,,N/A,Pending,08/01/2017 09:19:54 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/02/2017 09:25:22 AM,12 QUEENS,4101980041,QUEENS,1043850,192201,PHONE,Unspecified,QUEENS,,,,,,,,40.69402343149425,-73.78507451189947,"(40.69402343149425, -73.78507451189947)"
