Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39627252,07/02/2018 12:00:00 AM,07/02/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Fire Hydrant Emergency (FHE),,10467,3065 OLINVILLE AVENUE,OLINVILLE AVENUE,ADEE AVE,BURKE AVE,,,ADDRESS,BRONX,,N/A,Open,,,,12 BRONX,,BRONX,1020685,256600,PHONE,Unspecified,BRONX,,,,,,,,40.87090700115795,-73.8682611461702,"(40.87090700115795, -73.8682611461702)"
39623190,07/02/2018 12:00:00 AM,07/02/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Fire Hydrant Emergency (FHE),,10457,,,,,EAST 171 STREET,SHERIDAN AVENUE,INTERSECTION,BRONX,,N/A,Open,,,,04 BRONX,,BRONX,1008578,245125,PHONE,Unspecified,BRONX,,,,,,,,40.839453238208314,-73.9120783073385,"(40.839453238208314, -73.9120783073385)"
39629228,07/02/2018 12:00:00 AM,07/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11207,,,,,GLENMORE AVENUE,ASHFORD STREET,INTERSECTION,BROOKLYN,,N/A,Closed,08/01/2018 01:27:46 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/09/2018 12:00:00 AM,05 BROOKLYN,,BROOKLYN,1016052,185133,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67476694956195,-73.88535097380345,"(40.67476694956195, -73.88535097380345)"
39626297,07/02/2018 12:00:00 AM,07/09/2018 02:57:59 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207,744 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,HEGEMAN AVENUE,LINDEN BOULEVARD,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2018 07:50:40 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/09/2018 02:57:59 PM,05 BROOKLYN,3043220016,BROOKLYN,1014412,179541,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65942390550775,-73.89128833172097,"(40.65942390550775, -73.89128833172097)"
39626145,07/02/2018 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11208,111 PINE ST,PINE ST,,,,,LATLONG,BROOKLYN,,N/A,Assigned,08/01/2018 08:37:58 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/10/2018 09:58:19 AM,Unspecified BROOKLYN,,BROOKLYN,1019449,188505,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68400946057933,-73.87308689186271,"(40.68400946057933, -73.87308689186271)"
39624917,07/02/2018 12:00:00 AM,07/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10009,209 AVENUE B,AVENUE B,,,,,LATLONG,NEW YORK,,N/A,Closed,08/01/2018 10:13:15 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/09/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,990246,204700,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.72852886957085,-73.97836645593995,"(40.72852886957085, -73.97836645593995)"
39623103,07/02/2018 12:00:00 AM,07/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11208,1385 STANLEY AVENUE,STANLEY AVENUE,EMERALD STREET,AMBER STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,08/01/2018 01:28:07 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/09/2018 12:00:00 AM,05 BROOKLYN,3045180130,BROOKLYN,1023634,182257,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66684249881904,-73.85803403909058,"(40.66684249881904, -73.85803403909058)"
39630042,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,10303,487 NETHERLAND AVENUE,NETHERLAND AVENUE,GRANDVIEW AVENUE,SOUTH AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/01/2018 12:18:40 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/10/2018 12:00:00 AM,01 STATEN ISLAND,5012610173,STATEN ISLAND,938232,168502,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.629056073748835,-74.16578538928401,"(40.629056073748835, -74.16578538928401)"
39629993,07/02/2018 12:00:00 AM,07/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Swimming Pool - Unmaintained,1-2 Family Dwelling,10307,222 JOHNSON AVENUE,JOHNSON AVENUE,CRAIG AVENUE,AMBOY ROAD,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/01/2018 06:00:37 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/09/2018 12:00:00 AM,03 STATEN ISLAND,5080470086,STATEN ISLAND,915728,125464,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.510780154039345,-74.2464222292836,"(40.510780154039345, -74.2464222292836)"
39628623,07/02/2018 12:00:00 AM,07/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,2670 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST 194 STREET,EAST 196 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/01/2018 04:34:55 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,07/05/2018 12:00:00 AM,07 BRONX,2032870031,BRONX,1014268,254610,PHONE,Unspecified,BRONX,,,,,,,,40.86546921715945,-73.89147212650845,"(40.86546921715945, -73.89147212650845)"
